Date,Time,Views,Caption,Hashtags
2023-11-08,10:03:22,5154,"Follow @sanidhya.ai in the 100 days 100 learnings challenge to get smarter everyday!
#shop #shopping #amazon #amazonfinds #price","#shop, #shopping, #amazon, #amazonfinds, #price"
2023-11-06,11:05:46,11463,"Follow @sanidhya.ai in the 100 days 100 learnings challenge to get smarter everyday!
#edits #video #ai #generativeart #future","#edits, #video, #ai, #generativeart, #future"
2023-11-01,11:35:58,7722,"Welcome to the Tech of everyday things! Today we are talking about Speech Recognition !

This series is your start to getting curious about the things you use in everyday life!

My goal is to make you the smartest among your peers! Specially in the tech that we all use!
#apple #alexa #amazon #speech #tech #ai","#apple, #alexa, #amazon, #speech, #tech, #ai"
2023-10-26,10:57:17,11096,"Follow @sanidhya.ai in the 100 days 100 learning challenge to get smarter every day.
#design #uizard #work #ai","#design, #uizard, #work, #ai"
2023-10-23,10:36:00,32161,"Welcome to the Tech of everyday things! Today we are talking about Noise cancellation!

This series is your start to getting curious about the things you use in everyday life!

My goal is to make you the smartest among your peers! Specially in the tech that we all use!
#apple #noise #ai #sound #music","#apple, #noise, #ai, #sound, #music"
2023-10-18,08:04:58,22827,"Thumbnails : Been doing this from the first day of the series!

#midjourney #photography","#midjourney, #photography"
2023-10-17,10:42:49,92156,"Follow @sanidhya.ai in the 100 days 100 learning challenge to get smarter every day!
#instagram #instagood #photo #photography","#instagram, #instagood, #photo, #photography"
2023-10-15,10:46:22,12468,"Follow @sanidhya.ai in the 100 days 100 learning challenge to get smarter everyday!
#google #search #chatgpt #ai #aiart","#google, #search, #chatgpt, #ai, #aiart"
2023-10-10,11:34:38,26146,"Follow @sanidhya.ai in the 100 days 100 learnings challenge to get smarter everyday!
#jobs #research #google #chat #gpt","#jobs, #research, #google, #chat, #gpt"
2023-10-05,10:52:26,10630,"Follow @sanidhya.ai in the 100 days 100 learnings challenge to get smarter everyday!
#job #microsoft #google #open #chatgpt","#job, #microsoft, #google, #open, #chatgpt"
2023-10-02,11:23:14,23010,"Follow @sanidhya.ai in the 100 days 100 learnings challenge to get smarter everyday 💯

#search #google #photos #workout","#search, #google, #photos, #workout"
2023-09-27,09:48:13,-1,"Thanks to OneScore, we gifted ₹5,000 to a stranger with a great credit score. If you’re unsure about your money habits, use the Onescore app to find out.

Your credit score predicts how you handle finances, and having good ones can save you money. You’ll pay less interest, avoid extra fees, and get more financial perks.

If you’re not sure about your credit score, it’s a good idea to check and work on improving them to enjoy these benefits.

#OneScore #ScoreDekhaKya #creditscore #money","#OneScore, #ScoreDekhaKya, #creditscore, #money"
2023-09-26,10:33:01,41555,"Follow @sanidhya.ai in the 100 days 100 learnings challenge to get smarter everyday!
#job #linkedin #jobseekers #app","#job, #linkedin, #jobseekers, #app"
2023-09-20,09:57:56,22602,"⚡️Talk to your favourite celebrity on www.kamoto.ai or check the link in my bio 🔼 (@kamoto.ai )

Follow @sanidhya.ai in the 100 days 100 learnings challenge to get smarter everyday!

#actor #bollywood #movie #chat #ad #youtube","#actor, #bollywood, #movie, #chat, #ad, #youtube"
2023-09-18,10:40:17,19927,"Follow @sanidhya.ai  in the 100 days 100 learnings challenge to get smarter everyday 💯

#job #linkedin #profile #resume #cv","#job, #linkedin, #profile, #resume, #cv"
2023-09-14,10:55:07,49859,"Follow @sanidhya.ai in the 100 days 100 learnings challenge to get smarter everyday!

Find the link to Prompts in my bio!

#linkedin #jobsearch #job #bio","#linkedin, #jobsearch, #job, #bio"
